15:57:31.148 [AWT-EventQueue-0] INFO  com.hwt.meter.Charges - End Performe: Data Load
15:59:26.655 [AWT-EventQueue-0] INFO  com.hwt.meter.Charges - Start Performe: Data Load
15:59:26.657 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Start: AAA
15:59:26.845 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Connection to SQLite has been estiblished.
15:59:26.845 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - End: AAA
15:59:26.846 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Start: Query->select id, room_id, start_date, end_date, start_unit, end_unit, total_unit from meter_bill where room_id='1'
15:59:26.847 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - End: Query->select id, room_id, start_date, end_date, start_unit, end_unit, total_unit from meter_bill where room_id='1'
15:59:26.848 [AWT-EventQueue-0] INFO  com.hwt.meter.Charges - End Performe: Data Load
15:59:48.100 [AWT-EventQueue-0] INFO  com.hwt.meter.Charges - Start Performe: Data Load
15:59:48.102 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Start: AAA
15:59:48.270 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Connection to SQLite has been estiblished.
15:59:48.270 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - End: AAA
15:59:48.271 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Start: Query->select id, room_id, start_date, end_date, start_unit, end_unit, total_unit from meter_bill where room_id='1'
15:59:48.272 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - End: Query->select id, room_id, start_date, end_date, start_unit, end_unit, total_unit from meter_bill where room_id='1'
15:59:48.273 [AWT-EventQueue-0] INFO  com.hwt.meter.Charges - End Performe: Data Load
16:00:32.115 [AWT-EventQueue-0] INFO  com.hwt.meter.Charges - Start Performe: Data Load
16:00:32.118 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Start: AAA
16:00:32.295 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Connection to SQLite has been estiblished.
16:00:32.295 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - End: AAA
16:00:32.296 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Start: Query->select id, room_id, start_date, end_date, start_unit, end_unit, total_unit from meter_bill where room_id='1'
16:00:32.297 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - End: Query->select id, room_id, start_date, end_date, start_unit, end_unit, total_unit from meter_bill where room_id='1'
16:00:32.298 [AWT-EventQueue-0] INFO  com.hwt.meter.Charges - End Performe: Data Load
16:04:55.899 [AWT-EventQueue-0] INFO  com.hwt.meter.Charges - Start Performe: Data Load
16:04:55.902 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Start: AAA
16:04:56.080 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Connection to SQLite has been estiblished.
16:04:56.080 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - End: AAA
16:04:56.081 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Start: Query->select id, room_id, start_date, end_date, start_unit, end_unit, total_unit from meter_bill where room_id='1'
16:04:56.082 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - End: Query->select id, room_id, start_date, end_date, start_unit, end_unit, total_unit from meter_bill where room_id='1'
16:04:56.083 [AWT-EventQueue-0] INFO  com.hwt.meter.Charges - End Performe: Data Load
16:05:50.752 [AWT-EventQueue-0] INFO  com.hwt.meter.Charges - Start Performe: Data Load
16:05:50.755 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Start: AAA
16:05:51.018 [AWT-EventQueue-0] INFO  com.hwt.meter.SQLite - Connection to SQLite has been estiblished.
